age,education,education_num,sex,capital_gain,capital_loss,hours_per_week,native_country,income,married,relationship_grp,occupation_grp,workclass_grp,race_grp
34,Masters,14,Male,0,0,40,United-States,0,0,independent,low,private,other_race
20,HS-grad,9,Male,0,0,40,United-States,0,0,dependent,low,private,white
25,Bachelors,13,Female,0,0,40,United-States,0,0,dependent,high,private,white
49,10th,6,Male,0,0,40,United-States,0,1,spouse,low,private,white
59,HS-grad,9,Male,0,0,40,United-States,1,1,spouse,mid,private,white
20,HS-grad,9,Female,0,0,40,United-States,0,0,independent,mid,private,white
33,Some-college,10,Female,0,0,35,United-States,0,0,independent,mid,private,black
22,Some-college,10,Male,0,0,39,United-States,0,0,dependent,mid,private,black
58,9th,5,Female,0,0,40,United-States,0,0,independent,low,self_employed,white
52,HS-grad,9,Female,0,0,28,United-States,0,0,independent,mid,government,white
36,10th,6,Female,0,0,40,United-States,0,0,independent,low,private,white
41,HS-grad,9,Male,0,0,40,United-States,0,1,spouse,high,government,white
28,HS-grad,9,Male,2597,0,40,United-States,0,0,dependent,mid,private,white
19,Some-college,10,Male,0,0,16,United-States,0,0,dependent,low,private,black
18,HS-grad,9,Female,0,0,28,United-States,0,0,independent,low,private,white
18,HS-grad,9,Female,0,0,48,United-States,0,0,dependent,low,private,white
28,Some-college,10,Male,0,0,40,United-States,0,1,spouse,mid,private,white
29,Assoc-voc,11,Male,0,0,40,United-States,1,1,spouse,high,private,white
40,Some-college,10,Male,0,0,40,United-States,0,1,spouse,low,private,white
26,HS-grad,9,Male,0,0,40,United-States,0,0,independent,low,private,white
46,HS-grad,9,Male,0,0,40,United-States,0,1,spouse,mid,private,white
23,11th,7,Female,0,0,24,United-States,0,0,independent,low,private,white
44,HS-grad,9,Female,0,0,40,United-States,0,0,independent,mid,private,white
43,Bachelors,13,Female,0,0,40,United-States,1,0,independent,mid,private,white
31,Bachelors,13,Female,0,0,60,United-States,0,0,independent,high,government,white
18,Some-college,10,Female,0,0,25,United-States,0,0,dependent,mid,private,white
19,Some-college,10,Male,0,0,30,United-States,0,0,dependent,high,private,white
41,Some-college,10,Female,0,0,40,United-States,0,0,independent,high,private,white
41,HS-grad,9,Female,0,0,40,United-States,0,0,independent,low,private,white
69,HS-grad,9,Female,0,0,25,United-States,0,0,independent,mid,private,white
48,Doctorate,16,Female,0,0,40,United-States,1,1,spouse,high,government,white
28,HS-grad,9,Male,0,0,40,United-States,0,0,dependent,high,private,white
27,HS-grad,9,Male,0,0,60,Ireland,1,1,spouse,mid,self_employed,white
41,Masters,14,Male,0,2415,50,United-States,1,1,spouse,high,private,white
41,Some-college,10,Male,0,0,40,United-States,0,1,spouse,mid,private,white
24,HS-grad,9,Female,0,0,40,United-States,0,0,independent,mid,private,black
42,Doctorate,16,Male,0,0,41,United-States,1,1,spouse,high,self_employed,white
57,HS-grad,9,Male,0,0,48,United-States,0,1,spouse,mid,private,black
30,Assoc-acdm,12,Female,0,0,40,United-States,0,0,independent,high,private,white
36,HS-grad,9,Male,0,0,60,United-States,1,1,spouse,mid,private,white
49,7th-8th,4,Male,0,0,40,United-States,0,1,spouse,low,private,black
33,HS-grad,9,Female,0,0,35,United-States,0,1,spouse,low,private,white
23,10th,6,Male,0,0,40,United-States,0,1,spouse,low,private,white
46,Masters,14,Male,0,0,40,United-States,0,1,spouse,high,private,white
18,Some-college,10,Female,0,0,22,Germany,0,0,dependent,mid,private,other_race
40,HS-grad,9,Male,7688,0,55,United-States,1,1,spouse,high,private,white
43,HS-grad,9,Male,0,1887,45,United-States,1,1,spouse,high,self_employed,white
34,Masters,14,Female,0,0,30,United-States,0,0,dependent,high,private,white
47,HS-grad,9,Female,0,0,30,United-States,0,0,independent,high,self_employed,white
44,Assoc-voc,11,Female,0,0,30,United-States,0,0,independent,high,private,white
33,HS-grad,9,Male,0,0,40,United-States,1,1,spouse,mid,private,white
55,Bachelors,13,Male,15024,0,50,United-States,1,1,spouse,high,private,white
19,HS-grad,9,Male,2907,0,30,United-States,0,0,independent,mid,private,white
28,Some-college,10,Male,0,0,14,United-States,0,0,independent,low,private,black
27,11th,7,Female,0,0,32,United-States,0,1,spouse,low,private,black
50,7th-8th,4,Male,0,0,20,United-States,0,1,spouse,low,private,white
22,11th,7,Male,0,0,40,United-States,0,0,independent,mid,private,white
40,Bachelors,13,Male,0,1887,45,United-States,1,1,spouse,mid,government,white
25,Some-college,10,Female,0,0,40,United-States,0,0,dependent,mid,private,white
26,HS-grad,9,Male,0,0,40,United-States,0,0,independent,mid,government,white
22,Bachelors,13,Male,0,0,25,United-States,0,0,independent,mid,private,white
42,Some-college,10,Female,0,625,40,United-States,0,0,independent,low,private,black
38,Bachelors,13,Male,0,0,40,United-States,0,0,independent,high,self_employed,white
55,11th,7,Male,0,0,30,United-States,0,1,spouse,low,private,white
32,HS-grad,9,Male,0,0,40,United-States,0,1,spouse,mid,private,white
22,HS-grad,9,Male,0,0,45,United-States,0,1,spouse,mid,private,white
29,Bachelors,13,Male,0,0,40,United-States,0,0,dependent,mid,private,white
46,Masters,14,Male,0,0,45,United-States,1,1,spouse,high,government,white
31,Some-college,10,Male,0,0,40,United-States,1,1,spouse,high,private,white
58,Doctorate,16,Male,0,0,16,United-States,1,1,spouse,high,self_employed,white
42,HS-grad,9,Male,0,0,45,United-States,0,1,spouse,mid,private,white
18,HS-grad,9,Male,0,0,25,United-States,0,0,independent,low,private,white
58,HS-grad,9,Male,0,0,33,United-States,0,0,independent,high,government,white
54,HS-grad,9,Male,0,1887,40,United-States,1,1,spouse,high,private,white
34,Masters,14,Male,0,0,40,United-States,0,0,independent,high,private,white
26,Bachelors,13,Female,0,0,40,United-States,0,0,independent,mid,private,white
61,12th,8,Male,0,0,60,United-States,0,1,spouse,high,private,white
48,Masters,14,Female,0,0,40,United-States,0,0,independent,mid,government,black
36,Some-college,10,Male,0,0,45,United-States,1,1,spouse,high,private,white
24,Assoc-voc,11,Male,0,0,45,United-States,0,1,spouse,low,private,white
40,Some-college,10,Male,0,0,37,United-States,0,1,spouse,low,private,white
33,HS-grad,9,Male,0,0,50,United-States,1,1,spouse,mid,self_employed,white
37,Some-college,10,Male,0,1887,40,United-States,1,1,spouse,low,private,white
34,Masters,14,Male,4650,0,40,United-States,0,0,dependent,high,private,white
56,Some-college,10,Male,15024,0,40,United-States,1,1,spouse,high,self_employed,white
37,Bachelors,13,Female,0,0,55,United-States,0,0,independent,high,private,white
44,HS-grad,9,Female,0,0,40,United-States,0,0,independent,mid,private,black
54,HS-grad,9,Male,0,0,45,United-States,0,0,independent,low,private,white
23,HS-grad,9,Male,0,0,50,United-States,0,0,independent,low,private,white
22,HS-grad,9,Female,0,0,45,United-States,0,0,independent,low,private,white
33,Bachelors,13,Male,0,1977,40,United-States,1,1,spouse,high,private,white
39,Bachelors,13,Male,0,0,50,United-States,1,0,independent,high,private,white
47,Some-college,10,Female,0,0,37,United-States,0,0,independent,mid,private,black
26,HS-grad,9,Female,0,0,55,United-States,0,0,independent,high,private,black
31,Some-college,10,Female,0,0,40,United-States,0,0,independent,high,private,white
44,Some-college,10,Male,0,0,45,United-States,0,0,independent,mid,private,white
42,Prof-school,15,Female,0,0,50,United-States,1,1,spouse,high,self_employed,white
19,HS-grad,9,Female,0,0,40,United-States,0,0,independent,low,private,white
27,HS-grad,9,Male,0,0,40,United-States,1,1,spouse,low,private,white
51,Some-college,10,Male,0,0,40,United-States,1,1,spouse,high,government,white
28,Bachelors,13,Male,0,0,50,United-States,0,1,spouse,high,self_employed,white
57,Bachelors,13,Male,0,0,45,United-States,0,0,independent,mid,private,white
45,Bachelors,13,Female,0,0,40,United-States,0,0,independent,high,government,white
50,Assoc-voc,11,Male,0,0,40,United-States,1,1,spouse,high,private,white
34,Bachelors,13,Male,0,0,54,United-States,0,1,spouse,mid,self_employed,white
45,7th-8th,4,Male,0,0,40,United-States,0,1,spouse,mid,private,black
73,HS-grad,9,Male,0,0,20,United-States,0,1,spouse,high,government,white
34,Bachelors,13,Female,0,0,50,United-States,1,1,spouse,high,private,white
31,Some-college,10,Male,0,0,55,United-States,1,1,spouse,mid,private,white
19,11th,7,Male,0,0,12,United-States,0,0,independent,mid,private,white
25,Some-college,10,Female,0,0,50,United-States,0,0,dependent,low,private,white
38,Assoc-voc,11,Female,6497,0,40,United-States,0,0,independent,mid,government,white
39,Bachelors,13,Male,0,0,40,United-States,0,1,spouse,mid,private,white
23,Bachelors,13,Female,0,0,32,United-States,0,0,dependent,high,private,black
49,HS-grad,9,Male,0,0,40,United-States,0,1,spouse,low,private,white
33,HS-grad,9,Male,0,0,32,United-States,0,0,independent,low,government,white
21,5th-6th,3,Male,0,0,38,Mexico,0,0,dependent,low,private,white
31,Assoc-voc,11,Male,0,0,40,United-States,0,0,independent,mid,private,white
23,Bachelors,13,Female,0,0,45,United-States,0,0,independent,high,private,white
34,Bachelors,13,Male,0,0,40,Philippines,0,1,spouse,mid,private,other_race
25,HS-grad,9,Female,0,0,40,Philippines,0,0,independent,low,private,other_race
39,HS-grad,9,Male,0,0,40,United-States,0,0,independent,mid,private,white
52,HS-grad,9,Male,0,0,40,United-States,1,1,spouse,mid,self_employed,white
63,9th,5,Male,7688,0,40,United-States,1,1,spouse,mid,government,white
41,Some-college,10,Male,0,0,40,United-States,0,1,spouse,mid,private,white
46,Bachelors,13,Male,15024,0,38,United-States,1,1,spouse,high,private,white
53,HS-grad,9,Male,0,0,40,United-States,0,1,spouse,high,government,white
18,12th,8,Male,0,0,40,United-States,0,0,dependent,low,private,white
38,Prof-school,15,Male,0,0,50,United-States,0,1,spouse,high,private,white
55,Masters,14,Female,0,0,50,Thailand,0,0,independent,high,private,other_race
34,HS-grad,9,Male,0,0,40,United-States,1,1,spouse,high,private,white
80,HS-grad,9,Male,0,0,30,United-States,0,1,spouse,low,self_employed,white
34,Assoc-voc,11,Female,0,0,60,United-States,0,0,independent,high,private,white
52,Some-college,10,Male,5013,0,40,United-States,0,1,spouse,high,private,white
42,HS-grad,9,Female,0,0,28,Haiti,0,0,independent,low,private,black
26,Some-college,10,Female,0,0,40,United-States,0,0,independent,mid,private,white
31,HS-grad,9,Male,0,0,40,United-States,0,1,spouse,mid,private,white
25,HS-grad,9,Female,0,0,35,United-States,0,0,dependent,low,government,white
55,HS-grad,9,Male,0,2057,60,United-States,0,1,spouse,mid,self_employed,white
19,Some-college,10,Female,0,0,12,United-States,0,0,dependent,low,private,white
62,Some-college,10,Male,0,0,32,United-States,0,1,spouse,mid,self_employed,white
22,Some-college,10,Female,0,0,20,United-States,0,0,dependent,mid,government,white
35,HS-grad,9,Male,0,0,40,United-States,0,1,spouse,low,private,white
28,HS-grad,9,Female,0,0,40,United-States,0,1,dependent,mid,private,white
47,HS-grad,9,Male,0,0,70,United-States,1,1,spouse,mid,private,white
44,HS-grad,9,Male,0,0,40,United-States,0,1,spouse,low,government,white
21,Some-college,10,Male,0,0,15,United-States,0,0,dependent,mid,private,white
35,Assoc-voc,11,Male,0,0,50,United-States,0,0,independent,mid,private,white
24,Bachelors,13,Male,0,0,40,United-States,1,1,spouse,high,private,white
28,Bachelors,13,Male,0,0,50,United-States,0,0,dependent,high,private,white
21,Some-college,10,Male,0,0,35,United-States,0,0,dependent,low,private,white
62,Some-college,10,Male,4650,0,40,United-States,0,0,independent,high,government,black
39,HS-grad,9,Female,0,0,40,United-States,0,0,independent,low,private,black
30,HS-grad,9,Male,0,0,40,United-States,0,0,independent,low,government,white
72,Prof-school,15,Male,0,1429,20,United-States,0,0,independent,high,self_employed,white
50,Some-college,10,Female,0,0,50,United-States,0,1,spouse,high,private,white
28,Masters,14,Male,0,0,40,United-States,0,0,independent,high,government,white
29,Some-college,10,Female,0,0,40,United-States,0,0,independent,high,private,white
26,Bachelors,13,Female,0,0,40,United-States,0,0,dependent,mid,private,white
27,Masters,14,Female,0,0,40,United-States,0,0,independent,high,private,white
29,Some-college,10,Male,3103,0,40,United-States,1,1,spouse,low,private,white
29,10th,6,Male,0,0,25,United-States,0,1,spouse,mid,private,white
31,11th,7,Female,0,0,20,United-States,0,1,spouse,mid,private,white
25,HS-grad,9,Male,0,0,75,United-States,0,1,spouse,high,private,white
58,10th,6,Male,0,0,40,United-States,1,1,spouse,mid,private,white
64,Some-college,10,Female,0,0,40,United-States,1,1,spouse,high,private,white
46,Masters,14,Male,0,0,38,United-States,0,0,independent,high,government,white
19,HS-grad,9,Female,0,0,35,United-States,0,0,dependent,low,private,other_race
42,HS-grad,9,Male,0,0,52,United-States,0,0,independent,low,private,black
18,11th,7,Male,0,0,24,United-States,0,0,dependent,low,private,white
58,Bachelors,13,Male,15024,0,50,United-States,1,1,spouse,mid,self_employed,white
20,Some-college,10,Male,0,0,60,United-States,0,0,independent,high,private,black
35,HS-grad,9,Male,0,0,40,United-States,1,1,spouse,mid,government,white
32,HS-grad,9,Male,0,0,38,United-States,1,1,spouse,low,private,white
23,HS-grad,9,Female,0,0,25,United-States,0,0,independent,low,private,white
31,Some-college,10,Female,0,0,40,United-States,0,0,independent,high,private,white
33,Bachelors,13,Male,0,0,55,United-States,0,1,spouse,mid,private,black
41,Some-college,10,Female,0,0,48,United-States,0,0,independent,low,private,white
22,HS-grad,9,Male,0,0,40,United-States,0,0,dependent,low,private,black
46,Some-college,10,Male,0,0,40,United-States,1,1,spouse,high,private,white
61,Some-college,10,Male,0,0,40,United-States,0,1,spouse,mid,government,black
30,HS-grad,9,Male,0,0,40,United-States,0,0,independent,high,private,black
42,HS-grad,9,Male,0,0,55,United-States,1,1,spouse,high,private,white
63,10th,6,Male,0,0,40,United-States,0,1,spouse,low,private,white
26,Some-college,10,Male,0,0,40,United-States,0,1,spouse,mid,private,white
42,10th,6,Female,0,0,40,United-States,0,0,independent,mid,private,white
23,Some-college,10,Male,0,0,40,United-States,0,1,spouse,low,private,white
25,HS-grad,9,Male,0,1590,40,United-States,0,0,independent,low,private,white
30,9th,5,Male,0,0,32,El-Salvador,1,1,spouse,low,private,white
23,HS-grad,9,Male,0,0,40,United-States,0,0,dependent,mid,private,white
34,Assoc-voc,11,Male,27828,0,60,United-States,1,0,independent,low,self_employed,white
30,HS-grad,9,Male,0,2057,48,United-States,0,1,dependent,low,private,white
39,Some-college,10,Male,0,0,40,United-States,1,1,spouse,mid,private,white
30,11th,7,Male,0,1721,38,Puerto-Rico,0,0,dependent,low,private,white
38,Some-college,10,Female,0,0,38,United-States,0,0,independent,mid,government,white
26,HS-grad,9,Female,0,0,40,United-States,0,0,dependent,high,private,white
20,Some-college,10,Male,0,0,16,United-States,0,0,dependent,low,private,white
33,HS-grad,9,Female,0,0,40,United-States,0,1,dependent,mid,private,white
24,Bachelors,13,Male,0,0,40,United-States,0,0,dependent,mid,private,white
42,Bachelors,13,Male,0,0,60,United-States,1,1,spouse,high,self_employed,white
51,HS-grad,9,Male,3103,0,84,Vietnam,0,1,spouse,mid,self_employed,other_race
56,Assoc-acdm,12,Male,0,0,45,United-States,1,1,spouse,high,government,white
22,Some-college,10,Male,0,0,40,United-States,0,0,dependent,low,private,white
52,Some-college,10,Male,0,0,60,United-States,0,1,spouse,low,self_employed,white
44,Bachelors,13,Female,4934,0,45,United-States,1,0,independent,high,private,white
34,HS-grad,9,Female,4064,0,35,United-States,0,1,spouse,mid,private,white
51,Some-college,10,Male,0,0,42,United-States,1,0,independent,mid,private,white
19,Some-college,10,Female,0,0,25,United-States,0,0,independent,mid,private,white
37,Bachelors,13,Male,0,0,40,United-States,1,1,spouse,high,private,white
68,HS-grad,9,Male,0,0,40,United-States,1,1,spouse,low,private,black
22,Some-college,10,Male,0,0,40,United-States,0,0,independent,high,private,white
56,Bachelors,13,Male,0,0,40,United-States,0,1,spouse,high,self_employed,white
37,HS-grad,9,Male,0,0,40,United-States,0,1,spouse,mid,private,white
52,1st-4th,2,Male,0,0,40,Mexico,0,1,spouse,low,private,white
26,HS-grad,9,Male,0,0,40,Puerto-Rico,0,0,dependent,low,private,white
33,Masters,14,Male,0,0,50,United-States,0,1,spouse,high,private,white
45,Masters,14,Female,0,0,42,United-States,0,0,independent,high,government,white
18,11th,7,Male,0,0,15,United-States,0,0,dependent,low,private,white
43,Some-college,10,Male,0,0,60,United-States,1,1,spouse,low,self_employed,white
18,HS-grad,9,Male,0,0,20,United-States,0,0,dependent,low,private,white
57,HS-grad,9,Male,0,0,40,United-States,1,1,spouse,mid,private,white
41,HS-grad,9,Female,3674,0,42,United-States,0,0,independent,mid,private,white
34,Masters,14,Male,0,1887,50,United-States,1,1,spouse,high,private,white
19,HS-grad,9,Female,0,0,40,United-States,0,0,independent,mid,private,white
44,9th,5,Female,0,0,55,Dominican-Republic,0,0,independent,low,private,white
56,10th,6,Female,0,0,40,United-States,0,0,independent,low,private,white
36,HS-grad,9,Male,0,0,80,United-States,0,1,spouse,low,self_employed,white
48,Bachelors,13,Female,0,0,48,United-States,0,0,independent,high,private,white
29,HS-grad,9,Male,0,0,40,United-States,1,1,spouse,mid,private,white
33,Bachelors,13,Male,2174,0,40,United-States,0,0,independent,mid,private,white
31,5th-6th,3,Male,0,0,40,Mexico,0,1,spouse,low,private,white
39,Masters,14,Male,0,0,45,United-States,1,1,spouse,high,private,white
66,HS-grad,9,Male,10605,0,40,United-States,1,1,spouse,high,private,white
27,Bachelors,13,Female,0,0,50,United-States,1,0,independent,high,private,white
39,HS-grad,9,Female,99999,0,40,United-States,1,0,independent,high,private,black
59,7th-8th,4,Male,5178,0,50,United-States,1,1,spouse,mid,private,white
26,HS-grad,9,Female,0,0,40,United-States,0,0,dependent,low,private,white
31,Assoc-voc,11,Male,0,0,40,United-States,0,0,independent,mid,private,white
23,HS-grad,9,Male,0,0,30,United-States,0,0,dependent,low,private,white
36,HS-grad,9,Female,0,0,40,United-States,0,0,independent,mid,government,white
34,Some-college,10,Female,0,0,12,United-States,1,1,spouse,low,private,white
32,HS-grad,9,Male,0,0,84,United-States,1,1,spouse,mid,private,white
37,Bachelors,13,Male,0,0,50,United-States,1,1,spouse,high,private,black
33,Bachelors,13,Male,0,0,45,United-States,0,0,independent,mid,private,white
50,Prof-school,15,Male,99999,0,80,United-States,1,1,spouse,high,self_employed,white
32,Assoc-acdm,12,Male,0,0,40,United-States,0,0,independent,high,government,black
35,Bachelors,13,Female,0,0,40,United-States,0,0,dependent,mid,private,black
37,11th,7,Male,0,0,40,United-States,0,1,spouse,mid,private,white
44,Some-college,10,Male,0,0,60,United-States,0,0,independent,mid,private,white
57,Some-college,10,Male,0,0,25,United-States,0,0,dependent,low,private,white
29,Some-college,10,Female,0,0,40,United-States,0,1,dependent,high,government,white
55,HS-grad,9,Male,0,0,50,United-States,1,1,spouse,mid,private,white
43,Prof-school,15,Male,0,0,25,United-States,1,1,spouse,high,self_employed,white
43,Some-college,10,Male,0,0,70,United-States,0,1,spouse,mid,private,white
45,Some-college,10,Male,0,0,60,United-States,1,1,spouse,mid,self_employed,white
33,Masters,14,Female,0,0,8,United-States,0,1,spouse,high,self_employed,white
26,10th,6,Female,0,0,40,Germany,0,0,independent,low,private,white
23,Some-college,10,Male,0,0,68,United-States,0,1,spouse,mid,private,white
41,7th-8th,4,Male,0,0,40,Mexico,0,0,independent,mid,private,white
24,HS-grad,9,Male,0,0,40,United-States,0,1,spouse,mid,private,white
47,Bachelors,13,Male,0,0,44,United-States,0,1,spouse,mid,self_employed,white
34,HS-grad,9,Male,0,0,45,United-States,0,0,dependent,mid,self_employed,white
40,HS-grad,9,Male,0,0,40,United-States,1,1,spouse,high,private,white
28,Bachelors,13,Female,0,1485,40,United-States,0,1,spouse,high,private,other_race
24,HS-grad,9,Female,0,0,40,South,0,0,dependent,high,private,other_race
23,HS-grad,9,Male,0,0,15,United-States,0,0,dependent,mid,private,white
43,HS-grad,9,Male,0,0,40,United-States,1,1,spouse,high,self_employed,black
26,Bachelors,13,Female,0,0,40,United-States,0,0,independent,high,private,white
58,Doctorate,16,Female,0,1485,35,United-States,1,0,spouse,high,self_employed,white
52,HS-grad,9,Female,0,0,35,United-States,0,0,independent,mid,private,black
29,11th,7,Male,0,0,99,United-States,1,1,spouse,mid,private,white
47,11th,7,Male,0,0,35,Columbia,0,1,spouse,low,private,white
49,HS-grad,9,Female,0,0,37,United-States,0,0,independent,mid,private,black
40,11th,7,Female,0,0,40,United-States,0,0,independent,mid,private,white
62,HS-grad,9,Female,0,0,40,United-States,0,1,spouse,mid,self_employed,white
49,HS-grad,9,Male,0,1977,55,United-States,1,1,spouse,high,private,white
50,Bachelors,13,Female,0,0,50,United-States,1,0,dependent,high,private,white
31,HS-grad,9,Male,0,0,40,United-States,0,0,dependent,mid,private,black
48,Masters,14,Female,0,0,50,United-States,0,0,independent,high,government,white
24,HS-grad,9,Female,0,0,40,United-States,0,0,independent,mid,private,white
37,HS-grad,9,Male,0,0,60,United-States,0,0,dependent,low,private,other_race
45,Bachelors,13,Male,0,0,45,Japan,1,1,spouse,high,private,other_race
36,Masters,14,Male,0,0,45,India,0,1,spouse,high,private,other_race
45,Bachelors,13,Male,0,0,40,United-States,0,1,spouse,high,private,white
41,Bachelors,13,Female,0,0,40,United-States,0,0,independent,mid,private,white
26,Assoc-acdm,12,Female,0,0,20,United-States,0,0,dependent,high,private,white
17,11th,7,Female,0,0,25,United-States,0,0,dependent,mid,private,white
43,HS-grad,9,Male,0,0,65,United-States,0,1,spouse,low,private,white
35,HS-grad,9,Male,0,0,55,United-States,0,0,dependent,mid,private,white
